,Date,Open*,High,Low,Close**,Volume,Market Cap
117,"Aug 23, 2019",10136.31,10442.44,10078.19,10407.97,"15,627,023,886","186,231,409,722"
118,"Aug 22, 2019",10142.52,10233.0,9831.46,10131.06,"17,097,508,856","181,257,125,783"
119,"Aug 21, 2019",10764.57,10798.73,9962.72,10138.05,"19,473,084,768","181,364,502,142"
120,"Aug 20, 2019",10916.35,10947.04,10618.96,10763.23,"15,053,082,175","192,530,283,565"
121,"Aug 19, 2019",10350.28,10916.05,10313.2,10916.05,"16,038,264,603","195,243,306,008"
122,"Aug 18, 2019",10233.01,10487.07,10119.09,10345.81,"12,999,813,869","185,022,920,955"
123,"Aug 17, 2019",10358.72,10452.62,10086.7,10231.74,"13,778,035,685","182,966,857,173"
124,"Aug 16, 2019",10319.42,10524.35,9855.48,10374.34,"20,228,207,096","185,500,055,339"
125,"Aug 15, 2019",10038.42,10437.41,9675.32,10311.55,"22,899,115,082","184,357,666,577"
126,"Aug 14, 2019",10889.49,10889.56,10028.14,10051.7,"19,990,838,300","179,692,803,424"
127,"Aug 13, 2019",11385.05,11420.05,10830.33,10895.83,"16,681,503,537","194,762,696,644"
128,"Aug 12, 2019",11528.19,11528.19,11320.95,11382.62,"13,647,198,229","203,441,494,985"
129,"Aug 11, 2019",11349.74,11523.58,11248.29,11523.58,"15,774,371,518","205,941,632,235"
130,"Aug 10, 2019",11861.56,11915.66,11323.9,11354.02,"18,125,355,447","202,890,020,455"
131,"Aug 09, 2019",11953.47,11970.46,11709.75,11862.94,"18,339,989,960","211,961,319,133"
132,"Aug 08, 2019",11954.04,11979.42,11556.17,11966.41,"19,481,591,730","213,788,089,212"
133,"Aug 07, 2019",11476.19,12036.99,11433.7,11941.97,"22,194,988,641","213,330,426,789"
134,"Aug 06, 2019",11811.55,12273.82,11290.73,11478.17,"23,635,107,660","205,023,347,814"
135,"Aug 05, 2019",10960.74,11895.09,10960.74,11805.65,"23,875,988,832","210,848,822,060"
136,"Aug 04, 2019",10821.63,11009.21,10620.28,10970.18,"16,530,894,787","195,907,875,403"
137,"Aug 03, 2019",10519.28,10946.78,10503.5,10821.73,"15,352,685,061","193,233,960,601"
138,"Aug 02, 2019",10402.04,10657.95,10371.01,10518.17,"17,489,094,082","187,791,090,996"
139,"Aug 01, 2019",10077.44,10446.92,9922.02,10399.67,"17,165,337,858","185,653,203,391"
140,"Jul 31, 2019",9604.05,10085.63,9598.1,10085.63,"16,631,520,648","180,028,959,603"
141,"Jul 30, 2019",9522.33,9701.76,9437.34,9607.42,"13,829,811,132","171,472,452,506"
142,"Jul 29, 2019",9548.18,9681.65,9472.95,9519.15,"13,791,445,323","169,880,343,827"
143,"Jul 28, 2019",9491.63,9575.55,9252.3,9552.86,"13,738,687,093","170,461,958,074"
144,"Jul 27, 2019",9871.16,10167.32,9411.52,9477.68,"16,817,809,536","169,099,540,423"
145,"Jul 26, 2019",9913.13,9916.52,9717.98,9870.3,"14,495,714,483","176,085,968,354"
146,"Jul 25, 2019",9809.1,10154.25,9773.96,9911.84,"15,821,952,090","176,806,451,137"
147,"Jul 24, 2019",9887.73,9908.8,9614.31,9811.93,"17,398,734,322","175,005,760,794"
148,"Jul 23, 2019",10346.75,10346.75,9883.6,9900.77,"17,851,916,995","176,572,890,702"
149,"Jul 22, 2019",10596.95,10651.79,10154.92,10343.11,"16,334,414,913","184,443,440,748"
150,"Jul 21, 2019",10777.53,10841.89,10389.6,10599.11,"17,130,580,467","188,987,475,962"
151,"Jul 20, 2019",10525.82,11048.66,10451.28,10767.14,"20,206,615,155","191,963,691,255"
152,"Jul 19, 2019",10653.96,10716.98,10229.63,10530.73,"20,727,426,310","187,725,578,628"
153,"Jul 18, 2019",9698.5,10736.84,9376.8,10666.48,"25,187,024,648","190,129,918,121"
154,"Jul 17, 2019",9471.21,9963.13,9163.13,9693.8,"24,569,921,549","172,777,250,515"
155,"Jul 16, 2019",10896.65,10996.63,9448.11,9477.64,"24,151,199,070","168,908,640,950"
156,"Jul 15, 2019",10257.84,11052.77,9992.01,10895.09,"25,384,047,207","194,147,627,475"
157,"Jul 14, 2019",11381.02,11451.2,10234.58,10256.06,"22,486,000,001","182,741,933,552"
158,"Jul 13, 2019",11813.13,11841.96,10908.48,11392.38,"21,042,616,384","202,968,191,001"
159,"Jul 12, 2019",11354.3,11905.49,11179.14,11815.99,"23,534,692,797","210,494,417,832"
160,"Jul 11, 2019",12139.71,12144.62,11158.92,11358.66,"28,595,327,690","202,324,174,692"
161,"Jul 10, 2019",12571.54,13129.53,11710.98,12156.51,"33,627,574,244","216,515,999,522"
162,"Jul 09, 2019",12284.33,12779.13,12233.26,12573.81,"28,167,921,523","223,928,128,583"
163,"Jul 08, 2019",11446.6,12345.83,11393.37,12285.96,"23,482,551,458","218,778,355,444"
